Lysell Jerker;World Cup #5-Men (Sprint);SWE;982;0.99751;46,35,15,69,114,46,22,16,41,40,80,40,42,11,10,62,37,56,35,31,27,23,10,36,22,16;1.01932367149758,1.02222222222222,0.985185185185185,0.998389694041868,1.01656920077973,0.968599033816425,1.01515151515152,0.923611111111111,1.03794037940379,0.852777777777778,0.993055555555556,0.955555555555555,1.02645502645503,0.98989898989899,1.01111111111111,1.0089605734767,0.972972972972973,1.00595238095238,1.02222222222222,1.00358422939068,1,1.03381642512077,1,1.00925925925926,1.08080808080808,0.909722222222222;26;26
Kyburz Matthias;World Cup #5-Men (Sprint);SUI;994;0.98547;45,37,14,78,118,49,22,16,47,33,78,37,45,11,10,61,35,53,35,32,26,29,10,35,24,14;1.04197530864198,0.966966966966967,1.05555555555556,0.883190883190883,0.98210922787194,0.909297052154195,1.01515151515152,0.923611111111111,0.905437352245863,1.03367003367003,1.01851851851852,1.03303303303303,0.958024691358025,0.98989898989899,1.01111111111111,1.02550091074681,1.02857142857143,1.06289308176101,1.02222222222222,0.972222222222222,1.03846153846154,0.81992337164751,1,1.03809523809524,0.990740740740741,1.03968253968254;26;26
Merz Matthias;World Cup #5-Men (Sprint);SUI;999;0.98054;46,35,16,72,113,43,23,15,45,35,83,38,47,11,10,66,36,58,36,31,27,25,10,38,24,16;1.01932367149758,1.02222222222222,0.923611111111111,0.95679012345679,1.02556538839725,1.03617571059432,0.971014492753623,0.985185185185185,0.945679012345679,0.974603174603175,0.957161981258367,1.00584795321637,0.91725768321513,0.98989898989899,1.01111111111111,0.947811447811448,1,0.971264367816092,0.993827160493827,1.00358422939068,1,0.951111111111111,1,0.956140350877193,0.990740740740741,0.909722222222222;26;26
Müller Matthias;World Cup #5-Men (Sprint);SUI;1013;0.96698;48,37,16,70,113,45,23,14,43,35,81,42,43,12,10,73,36,63,37,32,27,24,12,37,25,15;0.976851851851852,0.966966966966967,0.923611111111111,0.984126984126984,1.02556538839725,0.990123456790123,0.971014492753623,1.05555555555556,0.989664082687339,0.974603174603175,0.98079561042524,0.91005291005291,1.00258397932817,0.907407407407407,1.01111111111111,0.856925418569254,1,0.894179894179894,0.966966966966967,0.972222222222222,1,0.990740740740741,0.833333333333333,0.981981981981982,0.951111111111111,0.97037037037037;26;26
Lundanes Olav;World Cup #5-Men (Sprint);NOR;1014;0.96603;48,37,14,70,125,45,23,15,42,34,83,39,46,11,13,64,38,57,37,31,28,24,10,39,25,16;0.976851851851852,0.966966966966967,1.05555555555556,0.984126984126984,0.927111111111111,0.990123456790123,0.971014492753623,0.985185185185185,1.01322751322751,1.00326797385621,0.957161981258367,0.98005698005698,0.93719806763285,0.98989898989899,0.777777777777778,0.977430555555556,0.947368421052632,0.988304093567251,0.966966966966967,1.00358422939068,0.964285714285714,0.990740740740741,1,0.931623931623932,0.951111111111111,0.909722222222222;26;26
Hubmann Martin;World Cup #5-Men (Sprint);SUI;1022;0.95847;46,36,15,70,128,47,24,16,43,35,85,41,45,11,10,67,36,57,36,34,28,25,10,38,24,15;1.01932367149758,0.993827160493827,0.985185185185185,0.984126984126984,0.905381944444444,0.947990543735225,0.930555555555555,0.923611111111111,0.989664082687339,0.974603174603175,0.934640522875817,0.932249322493225,0.958024691358025,0.98989898989899,1.01111111111111,0.933665008291874,1,0.988304093567251,0.993827160493827,0.915032679738562,0.964285714285714,0.951111111111111,1,0.956140350877193,0.990740740740741,0.97037037037037;26;26
Král Vojtìch;World Cup #5-Men (Sprint);CZE;1022;0.95847;50,39,16,67,120,46,23,16,49,35,79,40,45,11,11,62,37,58,38,32,29,25,11,41,26,16;0.937777777777778,0.917378917378917,0.923611111111111,1.02819237147595,0.965740740740741,0.968599033816425,0.971014492753623,0.923611111111111,0.868480725623583,0.974603174603175,1.0056258790436,0.955555555555555,0.958024691358025,0.98989898989899,0.919191919191919,1.0089605734767,0.972972972972973,0.971264367816092,0.941520467836257,0.972222222222222,0.931034482758621,0.951111111111111,0.909090909090909,0.886178861788618,0.914529914529915,0.909722222222222;26;26
Leandersson Jonas;World Cup #5-Men (Sprint);SWE;1022;0.95847;48,36,17,70,125,46,24,16,42,35,84,38,47,11,11,63,40,58,36,32,28,24,10,39,24,18;0.976851851851852,0.993827160493827,0.869281045751634,0.984126984126984,0.927111111111111,0.968599033816425,0.930555555555555,0.923611111111111,1.01322751322751,0.974603174603175,0.945767195767196,1.00584795321637,0.91725768321513,0.98989898989899,0.919191919191919,0.99294532627866,0.9,0.971264367816092,0.993827160493827,0.972222222222222,0.964285714285714,0.990740740740741,1,0.931623931623932,0.990740740740741,0.808641975308642;26;26
Holmberg Anders;World Cup #5-Men (Sprint);SWE;1023;0.95753;47,37,16,66,146,45,24,14,43,34,81,40,43,11,10,61,36,57,37,33,28,23,12,37,26,16;0.997635933806146,0.966966966966967,0.923611111111111,1.04377104377104,0.793759512937595,0.990123456790123,0.930555555555555,1.05555555555556,0.989664082687339,1.00326797385621,0.98079561042524,0.955555555555555,1.00258397932817,0.98989898989899,1.01111111111111,1.02550091074681,1,0.988304093567251,0.966966966966967,0.942760942760943,0.964285714285714,1.03381642512077,0.833333333333333,0.981981981981982,0.914529914529915,0.909722222222222;26;26
Nikolov Kiril;World Cup #5-Men (Sprint);BUL;1027;0.95380;51,39,16,73,121,45,23,16,48,35,81,42,44,11,11,64,36,57,37,33,28,26,11,38,25,16;0.919389978213508,0.917378917378917,0.923611111111111,0.943683409436834,0.957759412304867,0.990123456790123,0.971014492753623,0.923611111111111,0.886574074074074,0.974603174603175,0.98079561042524,0.91005291005291,0.97979797979798,0.98989898989899,0.919191919191919,0.977430555555556,1,0.988304093567251,0.966966966966967,0.942760942760943,0.964285714285714,0.914529914529915,0.909090909090909,0.956140350877193,0.951111111111111,0.909722222222222;26;26
Prochazka Jan;World Cup #5-Men (Sprint);CZE;1027;0.95380;54,39,16,76,118,47,24,16,45,34,79,39,45,11,11,66,37,60,35,32,28,26,12,37,25,15;0.868312757201646,0.917378917378917,0.923611111111111,0.906432748538012,0.98210922787194,0.947990543735225,0.930555555555555,0.923611111111111,0.945679012345679,1.00326797385621,1.0056258790436,0.98005698005698,0.958024691358025,0.98989898989899,0.919191919191919,0.947811447811448,0.972972972972973,0.938888888888889,1.02222222222222,0.972222222222222,0.964285714285714,0.914529914529915,0.833333333333333,0.981981981981982,0.951111111111111,0.97037037037037;26;26
Tranchand Frederic;World Cup #5-Men (Sprint);FRA;1029;0.95195;52,35,15,74,128,59,23,15,46,38,78,38,44,11,11,70,35,59,35,30,26,24,10,35,24,14;0.901709401709402,1.02222222222222,0.985185185185185,0.930930930930931,0.905381944444444,0.755178907721281,0.971014492753623,0.985185185185185,0.92512077294686,0.89766081871345,1.01851851851852,1.00584795321637,0.97979797979798,0.98989898989899,0.919191919191919,0.893650793650794,1.02857142857143,0.954802259887006,1.02222222222222,1.03703703703704,1.03846153846154,0.990740740740741,1,1.03809523809524,0.990740740740741,1.03968253968254;26;26
Bergman Gustav;World Cup #5-Men (Sprint);SWE;1031;0.95010;49,38,16,71,122,55,24,15,43,35,82,40,46,11,11,67,37,59,38,31,28,25,10,37,26,15;0.956916099773243,0.941520467836257,0.923611111111111,0.970266040688576,0.949908925318761,0.81010101010101,0.930555555555555,0.985185185185185,0.989664082687339,0.974603174603175,0.968834688346883,0.955555555555555,0.93719806763285,0.98989898989899,0.919191919191919,0.933665008291874,0.972972972972973,0.954802259887006,0.941520467836257,1.00358422939068,0.964285714285714,0.951111111111111,1,0.981981981981982,0.914529914529915,0.97037037037037;26;26
Gonon Francois;World Cup #5-Men (Sprint);FRA;1031;0.95010;50,36,16,81,119,45,23,15,43,36,81,43,43,11,11,66,37,56,39,33,28,25,13,38,25,18;0.937777777777778,0.993827160493827,0.923611111111111,0.850480109739369,0.973856209150327,0.990123456790123,0.971014492753623,0.985185185185185,0.989664082687339,0.947530864197531,0.98079561042524,0.888888888888889,1.00258397932817,0.98989898989899,0.919191919191919,0.947811447811448,0.972972972972973,1.00595238095238,0.917378917378917,0.942760942760943,0.964285714285714,0.951111111111111,0.769230769230769,0.956140350877193,0.951111111111111,0.808641975308642;26;26
Daehli Magne;World Cup #5-Men (Sprint);NOR;1032;0.94918;54,39,17,72,119,47,24,16,48,36,82,42,46,12,13,65,37,57,37,31,29,24,11,36,24,14;0.868312757201646,0.917378917378917,0.869281045751634,0.95679012345679,0.973856209150327,0.947990543735225,0.930555555555555,0.923611111111111,0.886574074074074,0.947530864197531,0.968834688346883,0.91005291005291,0.93719806763285,0.907407407407407,0.777777777777778,0.962393162393162,0.972972972972973,0.988304093567251,0.966966966966967,1.00358422939068,0.931034482758621,0.990740740740741,0.909090909090909,1.00925925925926,0.990740740740741,1.03968253968254;26;26
Tervo Tuomas;World Cup #5-Men (Sprint);FIN;1035;0.94643;50,42,16,71,124,44,23,17,45,36,82,42,44,11,11,65,38,59,38,34,28,25,11,38,25,16;0.937777777777778,0.851851851851852,0.923611111111111,0.970266040688576,0.934587813620072,1.01262626262626,0.971014492753623,0.869281045751634,0.945679012345679,0.947530864197531,0.968834688346883,0.91005291005291,0.97979797979798,0.98989898989899,0.919191919191919,0.962393162393162,0.947368421052632,0.954802259887006,0.941520467836257,0.915032679738562,0.964285714285714,0.951111111111111,0.909090909090909,0.956140350877193,0.951111111111111,0.909722222222222;26;26
Gvildys Jonas Vytautas;World Cup #5-Men (Sprint);LTU;1037;0.94461;49,39,15,78,123,43,21,16,52,34,81,42,43,11,11,65,40,57,37,34,29,30,10,38,24,15;0.956916099773243,0.917378917378917,0.985185185185185,0.883190883190883,0.942186088527552,1.03617571059432,1.06349206349206,0.923611111111111,0.818376068376068,1.00326797385621,0.98079561042524,0.91005291005291,1.00258397932817,0.98989898989899,0.919191919191919,0.962393162393162,0.9,0.988304093567251,0.966966966966967,0.915032679738562,0.931034482758621,0.792592592592593,1,0.956140350877193,0.990740740740741,0.97037037037037;26;26
Kodeda Stepan;World Cup #5-Men (Sprint);CZE;1041;0.94098;52,36,17,70,113,58,26,16,48,37,78,44,46,12,10,63,42,57,39,33,29,24,11,40,26,14;0.901709401709402,0.993827160493827,0.869281045751634,0.984126984126984,1.02556538839725,0.768199233716475,0.858974358974359,0.923611111111111,0.886574074074074,0.921921921921922,1.01851851851852,0.868686868686869,0.93719806763285,0.907407407407407,1.01111111111111,0.99294532627866,0.857142857142857,0.988304093567251,0.917378917378917,0.942760942760943,0.931034482758621,0.990740740740741,0.909090909090909,0.908333333333333,0.914529914529915,1.03968253968254;26;26
Adamski Philippe;World Cup #5-Men (Sprint);FRA;1045;0.93737;50,37,16,70,122,61,22,15,46,36,93,37,43,10,12,65,38,57,38,34,27,25,10,39,25,17;0.937777777777778,0.966966966966967,0.923611111111111,0.984126984126984,0.949908925318761,0.730418943533698,1.01515151515152,0.985185185185185,0.92512077294686,0.947530864197531,0.854241338112306,1.03303303303303,1.00258397932817,1.08888888888889,0.842592592592593,0.962393162393162,0.947368421052632,0.988304093567251,0.941520467836257,0.915032679738562,1,0.951111111111111,1,0.931623931623932,0.951111111111111,0.856209150326797;26;26
Khramov Andrey;World Cup #5-Men (Sprint);RUS;1050;0.93291;51,38,16,73,127,47,25,16,48,35,82,51,43,13,11,64,38,57,37,32,28,25,11,39,26,17;0.919389978213508,0.941520467836257,0.923611111111111,0.943683409436834,0.912510936132983,0.947990543735225,0.893333333333333,0.923611111111111,0.886574074074074,0.974603174603175,0.968834688346883,0.749455337690632,1.00258397932817,0.837606837606838,0.919191919191919,0.977430555555556,0.947368421052632,0.988304093567251,0.966966966966967,0.972222222222222,0.964285714285714,0.951111111111111,0.909090909090909,0.931623931623932,0.914529914529915,0.856209150326797;26;26
Kyburz Andreas;World Cup #5-Men (Sprint);SUI;1053;0.93025;48,36,15,77,128,54,23,16,43,35,81,40,44,11,11,76,37,67,39,33,28,24,11,37,24,15;0.976851851851852,0.993827160493827,0.985185185185185,0.894660894660895,0.905381944444444,0.825102880658436,0.971014492753623,0.923611111111111,0.989664082687339,0.974603174603175,0.98079561042524,0.955555555555555,0.97979797979798,0.98989898989899,0.919191919191919,0.823099415204678,0.972972972972973,0.840796019900498,0.917378917378917,0.942760942760943,0.964285714285714,0.990740740740741,0.909090909090909,0.981981981981982,0.990740740740741,0.97037037037037;26;26
Indgaard Ulf Forseth;World Cup #5-Men (Sprint);NOR;1056;0.92761;50,38,17,69,116,51,22,15,46,37,82,41,55,12,11,67,38,71,38,34,28,26,10,39,27,16;0.937777777777778,0.941520467836257,0.869281045751634,0.998389694041868,0.99904214559387,0.87363834422658,1.01515151515152,0.985185185185185,0.92512077294686,0.921921921921922,0.968834688346883,0.932249322493225,0.783838383838384,0.907407407407407,0.919191919191919,0.933665008291874,0.947368421052632,0.793427230046948,0.941520467836257,0.915032679738562,0.964285714285714,0.914529914529915,1,0.931623931623932,0.880658436213992,0.909722222222222;26;26
Lassen Tue;World Cup #5-Men (Sprint);DEN;1059;0.92498;51,37,16,70,140,49,23,16,50,35,87,42,44,11,11,72,40,57,37,31,27,24,10,38,25,16;0.919389978213508,0.966966966966967,0.923611111111111,0.984126984126984,0.827777777777778,0.909297052154195,0.971014492753623,0.923611111111111,0.851111111111111,0.974603174603175,0.913154533844189,0.91005291005291,0.97979797979798,0.98989898989899,0.919191919191919,0.868827160493827,0.9,0.988304093567251,0.966966966966967,1.00358422939068,1,0.990740740740741,1,0.956140350877193,0.951111111111111,0.909722222222222;26;26
Skjeset Lars;World Cup #5-Men (Sprint);NOR;1066;0.91891;54,37,17,70,126,49,26,16,48,38,82,43,49,12,14,71,37,59,40,34,29,24,12,38,24,17;0.868312757201646,0.966966966966967,0.869281045751634,0.984126984126984,0.919753086419753,0.909297052154195,0.858974358974359,0.923611111111111,0.886574074074074,0.89766081871345,0.968834688346883,0.888888888888889,0.879818594104308,0.907407407407407,0.722222222222222,0.881064162754304,0.972972972972973,0.954802259887006,0.894444444444444,0.915032679738562,0.931034482758621,0.990740740740741,0.833333333333333,0.956140350877193,0.990740740740741,0.856209150326797;26;26
Rollier Baptiste;World Cup #5-Men (Sprint);SUI;1067;0.91805;49,40,16,75,122,49,25,17,44,34,85,41,45,11,11,78,42,59,40,33,29,24,14,39,27,18;0.956916099773243,0.894444444444444,0.923611111111111,0.918518518518519,0.949908925318761,0.909297052154195,0.893333333333333,0.869281045751634,0.967171717171717,1.00326797385621,0.934640522875817,0.932249322493225,0.958024691358025,0.98989898989899,0.919191919191919,0.801994301994302,0.857142857142857,0.954802259887006,0.894444444444444,0.942760942760943,0.931034482758621,0.990740740740741,0.714285714285714,0.931623931623932,0.880658436213992,0.808641975308642;26;26
Dlabaja Tomas;World Cup #5-Men (Sprint);CZE;1072;0.91376;54,37,17,72,144,49,23,17,43,35,100,38,44,11,11,63,41,59,37,32,28,25,11,39,26,16;0.868312757201646,0.966966966966967,0.869281045751634,0.95679012345679,0.804783950617284,0.909297052154195,0.971014492753623,0.869281045751634,0.989664082687339,0.974603174603175,0.794444444444444,1.00584795321637,0.97979797979798,0.98989898989899,0.919191919191919,0.99294532627866,0.878048780487805,0.954802259887006,0.966966966966967,0.972222222222222,0.964285714285714,0.951111111111111,0.909090909090909,0.931623931623932,0.914529914529915,0.909722222222222;26;26
Rost Erik;World Cup #5-Men (Sprint);SWE;1073;0.91291;53,39,17,75,129,57,23,16,43,37,87,42,46,11,11,71,39,60,38,32,29,24,12,39,27,16;0.884696016771488,0.917378917378917,0.869281045751634,0.918518518518519,0.898363479758829,0.781676413255361,0.971014492753623,0.923611111111111,0.989664082687339,0.921921921921922,0.913154533844189,0.91005291005291,0.93719806763285,0.98989898989899,0.919191919191919,0.881064162754304,0.923076923076923,0.938888888888889,0.941520467836257,0.972222222222222,0.931034482758621,0.990740740740741,0.833333333333333,0.931623931623932,0.880658436213992,0.909722222222222;26;26
Öberg Peter;World Cup #5-Men (Sprint);SWE;1084;0.90365;53,38,15,74,138,55,27,18,47,34,88,42,44,11,10,64,37,59,39,37,30,26,12,41,26,19;0.884696016771488,0.941520467836257,0.985185185185185,0.930930930930931,0.839774557165861,0.81010101010101,0.827160493827161,0.820987654320988,0.905437352245863,1.00326797385621,0.902777777777778,0.91005291005291,0.97979797979798,0.98989898989899,1.01111111111111,0.977430555555556,0.972972972972973,0.954802259887006,0.917378917378917,0.840840840840841,0.9,0.914529914529915,0.833333333333333,0.886178861788618,0.914529914529915,0.766081871345029;26;26
Basset Lucas;World Cup #5-Men (Sprint);FRA;1087;0.90116;50,40,16,77,127,51,24,15,52,36,91,41,46,12,11,66,40,61,39,35,38,26,12,39,26,16;0.937777777777778,0.894444444444444,0.923611111111111,0.894660894660895,0.912510936132983,0.87363834422658,0.930555555555555,0.985185185185185,0.818376068376068,0.947530864197531,0.873015873015873,0.932249322493225,0.93719806763285,0.907407407407407,0.919191919191919,0.947811447811448,0.9,0.923497267759563,0.917378917378917,0.888888888888889,0.710526315789474,0.914529914529915,0.833333333333333,0.931623931623932,0.914529914529915,0.909722222222222;26;26
Sedivy Jan;World Cup #5-Men (Sprint);CZE;1089;0.89950;51,40,16,81,120,49,25,17,54,35,82,44,51,11,13,75,38,59,38,33,30,25,19,38,27,18;0.919389978213508,0.894444444444444,0.923611111111111,0.850480109739369,0.965740740740741,0.909297052154195,0.893333333333333,0.869281045751634,0.788065843621399,0.974603174603175,0.968834688346883,0.868686868686869,0.845315904139434,0.98989898989899,0.777777777777778,0.834074074074074,0.947368421052632,0.954802259887006,0.941520467836257,0.942760942760943,0.9,0.951111111111111,0.526315789473684,0.956140350877193,0.880658436213992,0.808641975308642;26;26
Østerbø Øystein Kvaal;World Cup #5-Men (Sprint);NOR;1092;0.89703;53,37,18,70,126,74,26,17,47,38,87,40,48,12,11,68,38,60,39,36,29,25,11,39,26,17;0.884696016771488,0.966966966966967,0.820987654320988,0.984126984126984,0.919753086419753,0.602102102102102,0.858974358974359,0.869281045751634,0.905437352245863,0.89766081871345,0.913154533844189,0.955555555555555,0.898148148148148,0.907407407407407,0.919191919191919,0.919934640522876,0.947368421052632,0.938888888888889,0.917378917378917,0.864197530864197,0.931034482758621,0.951111111111111,0.909090909090909,0.931623931623932,0.914529914529915,0.856209150326797;26;26
Bertuks Edgars;World Cup #5-Men (Sprint);LAT;1100;0.89051;52,41,17,82,124,52,25,15,46,38,84,45,46,11,12,71,42,58,40,36,44,27,11,39,25,17;0.901709401709402,0.872628726287263,0.869281045751634,0.840108401084011,0.934587813620072,0.856837606837607,0.893333333333333,0.985185185185185,0.92512077294686,0.89766081871345,0.945767195767196,0.849382716049383,0.93719806763285,0.98989898989899,0.842592592592593,0.881064162754304,0.857142857142857,0.971264367816092,0.894444444444444,0.864197530864197,0.613636363636364,0.880658436213992,0.909090909090909,0.931623931623932,0.951111111111111,0.856209150326797;26;26
